,question_en,answer_en,chapter_no,verse_list
0,What is the only book that is free from any doubt or disbelief?,"This is the Book of Allah . The evidence: 'This is the Book; there is no doubt in it, a guidance for the righteous.'",2,[1 2]
1,Are the fruits of paradise similar to the fruits of this world?,"Yes, and the evidence: 'And give good news to those who believe and do righteous deeds that they will have gardens [in which] rivers flow. Whenever they are given fruit there as provision, they will say,",2,[25]
2,How many deaths and how many lives do humans have?,"And you were dead, and He gave you life, then He will cause you to die, then He will bring you to life again, then you will be returned to Him.",2,[28]
3,How many heavens are there?,"He it is Who created for you all that is in the earth. Then He directed Himself to the heaven, and fashioned it as seven heavens. And He is Knower of all things.",2,[29]
4,"What did Adam  learn from Allah , which was not known to the angels?","He taught Adam the names of all things, then He showed them to the angels and said, 'Inform me of the names of these, if you are truthful'",2,[31]
5,Who are the purified wives?,"The wives of the believers will be in Paradise, never experiencing menstruation. The evidence for this is: 'And give good news to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a fruit from it as provision, they will say,",2,[25]
6,Who refused Allah's command to prostrate to Adam ?,"And when We said to the angels, 'Bow down to Adam,' they bowed down, except for Iblis, who refused and was arrogant. He was one of the disbelievers.",2,[34]
7,What are the Seven Sleepers?,"In the name of Allah, the Entirely Merciful, the Especially Merciful. [1] All praise is due to Allah, Lord of the worlds. [2] The Entirely Merciful, the Especially Merciful. [3] Sovereign of the Day of Recompense. [4] You alone we worship, and You alone we ask for help. [5] Guide us to the straight path. [6] The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray. [7] The Fatiha.",1,[1 2 3 4 5 6 7]
8,Who are the 'those upon whom is the anger [of Allah]' and who are the 'those who are astray'?,Cursed are the Jews and the misguided are the Christians,1,[7]
9,"When Allah, the Exalted, created Adam and Eve, what was their dwelling?","And We said, 'O Adam, dwell you and your wife in the Paradise and eat from it a plentifully wherever you wish, but do not approach this tree, lest you be among the wrongdoers.'",2,[35]
10,What is the thing that Allah  forbade Adam and Hawwa  from in Paradise?,"And they shall eat of a tree in the Garden, and they shall say, 'We have indeed become the losers.' And Allah will say, 'Do not be lost, for I am with you. I hear and see all.' And the proof is: 'And We said, 'O Adam, dwell you and your wife in the Garden, and eat from it a plentifully, wherever you will, but do not approach this tree, for then you will be of the wrongdoers.'  [Al-Baqarah: 35]",2,[35]
11,When did the open enmity between humans and the devil begin?,"After Adam and Eve descended to Earth after eating from the tree, and the proof of that is: the devil misled them and caused them to fall from it. We said, 'Descend, one of you is an enemy to the other. You will have on Earth a place of settlement and sustenance for a time.'  The Cow",2,[36]
12,"Did Allah  establish the path for humans since He sent them to Earth, in terms of reward and punishment? Please recall the verses that indicate this.","We said, 'Descend from it all of you, and if guidance comes to you from Me, then whoever follows My guidance, there will be no fear upon them, nor will they grieve.' But those who disbelieved and denied Our signs, they are the companions of the Fire; they will abide therein.",2,[38 39]
13,What are the two great things that Allah  has commanded us to seek help in?,"Patience and prayer. And the evidence: 'And seek help through patience and prayer, and indeed, it is difficult except for the humble.'  [Al-Baqarah]",2,[45]
14,What was the torment of Pharaoh's people for the Children of Israel?,They used to slaughter your sons and take your daughters alive. And in that was a great trial from your Lord.,2,[49]
15,What was the condition that the people of Moses  had to fulfill to believe that the words they heard from him  were the words of God?,"And when you said, 'O Moses, we will not believe in you until we see Allah openly,' the thunderbolt struck you while you were looking.",2,[55]
17,What are the qualities of the cow that Allah commanded the Children of Israel to slaughter?,"She is not an old cow nor a young one, very yellow, delightful to look at, not barren in tilling the land and farming, not prepared for watering from a water wheel, and free from defects. They said, 'Invoke for us your Lord to make it clear to us what it is.' He said, 'He says,",2,[68 69 70 71]
18,When will the Jews and Christians be satisfied with the Prophet and the Muslims?,"If you follow the Prophet Muhammad  and his path, and the Muslims follow their path. The evidence for this is: 'And you will never be satisfied, O Muhammad, until you follow their religion.' , 'Indeed, Allah's guidance is the true guidance.' And if you were to follow their desires after the knowledge that has come to you, then you would have no protector or helper from Allah.'",2,[120]
19,Who raised the foundations of the Holy House ?,"Ibrahim and his son Ismail, peace be upon them. And the evidence is: 'And when Ibrahim raised the foundations of the House and Ismail, 'Our Lord, accept from us, indeed You are the Hearing, the Knowing.'  Al-Baqarah.",2,[127]
20,"What was the testament of Ibrahim  to his children, and what was the testament of Ya'qub  to his children?","And they die while they are Muslims. And the evidence is: 'And Abraham instructed his sons [to do so] and [he also instructed] Jacob: 'O my sons! Allah has chosen for you the religion, so do not die except while you are Muslims.' [2:132] The Cow.",2,[132]
21,What did the foolish Jews and Christians say when Allah commanded His Prophet  to change the Qibla to the Kaaba? And what was Allah's response to them?,"They said: 'What caused the Prophet  and the believers to change their Qibla  from what they were on to the direction of Jerusalem? And Allah's response was . The evidence is: 'The foolish among the people will say, 'What has turned them from their Qibla which they were facing?' Say: 'To Allah belongs the East and the West; He guides whom He will to a Straight Path.'",2,[142]
22,"Why did Allah  make the nation of Muhammad  a middle nation, a nation of choice and balance? And why was the Qibla changed?","Thus, We have made you a justly balanced nation that you may be witnesses over the people and the Messenger may be a witness over you. And We have appointed the Qiblah which you used to face only to distinguish those who follow the Messenger from those who turn on their heels. And indeed, it was not except a great matter except for those whom Allah has guided. And Allah would not have let your faith go to waste. Indeed, Allah is, over the people, Kind and Merciful.",2,[143 143]
24,What is the evidence that those who were killed in the way of Allah are alive and not dead?,"And do not say of those who are killed in the way of Allah, 'They are dead.' Rather, they are alive, but you are not aware.",2,[154]
25,Recite some of the trials that Allah  has put the believers through.,Fear - Hunger - Lack of money - Death - Disease - Destruction of crops. And the evidence: 'And We will certainly put you to test with fear and hunger and loss of property and lives and crops. But give glad tidings to the steadfast.'  - The Cow.,2,[155]
26,What are the foods that Allah  has forbidden for people?,"God has forbidden for you the carrion, blood, pork, and that which is slaughtered in the name of other than Allah. And for one who is forced [to eat these] without being willful or transgressing, there is no sin upon him. Indeed, Allah is Forgiving and Merciful.",2,[173]
27,Can you remind me of the evidence regarding ?,"O you who believe, the law of equality is prescribed to you in cases of murder: the free for the free, the slave for the slave, and the female for the female. But if any remission is made by the next of kin, an equitable compensation should be made. This is an alleviation from your Lord and a mercy. But if anyone transgresses after this, he shall have a painful punishment. And there is for you in the law of equality life-saving, O you who understand, that you may become righteous.",2,[178 179]
28,"Did Allah, the Exalted, ordain fasting upon the previous nations for us?","Yes, and the evidence is: 'O you who believe, fasting is prescribed for you as it was prescribed for those before you, so that you may become righteous.'",2,[183]
29,Who are the people allowed to fast during the month of Ramadan?,"And for those who are ill or on a journey, the prescribed number of other days [to compensate for fasting missed] is Allah's ordinance. Allah is All-Knowing, All-Wise.",2,[184]
31,"God has sanctified fighting during the sacred months of Rajab, Dhu al-Qi'dah, Dhu al-Hijjah, and Muharram. However, if Muslims are attacked during these months, should they fight back or not? What is the evidence for this?","Yes, it is obligatory for Muslims to fight in the sacred months if they are attacked. The evidence for this is: 'The sacred month is for the sacred month, and the sacred things are to be repaid in kind. So if anyone attacks you, attack him in the same way that he attacked you, and be mindful of Allah, and know that Allah is with those who are mindful of Him.'",2,[194]
32,"What verse indicates that the Quraysh used to stand at Muzdalifah instead of Arafat, raising the stand with the people on the day of Hajj, and Allah revealed something to guide them to stand with the people at Arafat?","Then depart from where the people have departed, and seek forgiveness from Allah. Indeed, Allah is Forgiving and Merciful.",2,[199]
33,"What is the verse that was revealed regarding Saib bin Umayr  when he was harmed by the disbelievers, causing him to migrate to Medina and leave behind his wealth?","And among people are those who spend freely for the sake of Allah's pleasure, and Allah is most kind to His servants.",2,[207]
34,Is it permissible for a man to approach his wife during her menstrual period? Please recall the verse that indicates this.,"They ask you about menstruation. Say, 'It is a harm. So, avoid sexual relations during menstruation and do not approach them until they are clean. Then, when they are clean, you may approach them from where Allah has permitted you.' Indeed, Allah loves those who repent and those who purify themselves.",2,[222]
35,"Will Allah  hold us accountable if we unintentionally swear falsely, for example, saying 'By Allah' or 'Yes, by Allah'? And what does Allah  hold us accountable for?","God will not hold us accountable for oaths that slip out unintentionally, but He will hold us accountable for what our hearts have intended.",2,[225]
36,What is the waiting period for a divorcee?,"Three menstrual periods  is the waiting period for divorcees. The evidence is: 'And the divorced women should wait for three menstrual periods, and it is not lawful for them to conceal what Allah has created in their wombs if they believe in Allah and the Last Day. And their husbands have more right to take them back during this period if they desire reconciliation. And the rights of men are equal to the rights of women according to what is fair. And men have a degree over them [in responsibility and authority]. And Allah is Mighty and Wise.'",2,[228]
37,How many widows are there?,"Four months and ten days. And those who die among you and leave behind wives, they should keep themselves in waiting for four months and ten days.",2,[234]
38,"Who are the people who left their homes in fear of death, and they were thousands?","They were a people from the children of Israel. A plague struck their land, so they fled, and Allah said to them, 'Die,' and they died. Then He resurrected them after eight days by the invocation of their prophet, Hzqiel . They lived for a long time, and even their clothes would turn into shrouds as a reminder of their death. This is mentioned in the story of the people who left their homes in fear of death, as mentioned in the Quran .",2,[243]
39,What is the story of Nimrod in the Quran?,"Did you not see the one who argued with Abraham about his Lord, saying, 'I will give you wealth and power,' when Abraham said, 'My Lord is the one who gives life and causes death.' The man replied, 'I can give life and cause death.' Abraham said, 'Indeed, Allah brings the sun from the east, so can you bring it from the west?' The disbeliever was left speechless, and Allah does not guide the wrongdoers.",2,[258]
